Product_ID,City,From_Store,To_Store,Transfer_Qty
PROD-005,Delhi NCR,BST-001,BST-018,22
PROD-005,Delhi NCR,BST-001,BST-016,21
PROD-005,Delhi NCR,BST-001,BST-021,19
PROD-005,Delhi NCR,BST-001,BST-005,18
PROD-005,Delhi NCR,BST-001,BST-006,17
PROD-005,Delhi NCR,BST-001,BST-002,14
PROD-005,Delhi NCR,BST-001,BST-007,10
PROD-005,Delhi NCR,BST-001,BST-011,5
PROD-005,Delhi NCR,BST-001,BST-025,4
PROD-006,Delhi NCR,BST-008,BST-006,400
PROD-006,Delhi NCR,BST-008,BST-012,34
PROD-006,Delhi NCR,BST-008,BST-015,34
PROD-006,Delhi NCR,BST-008,BST-023,29
PROD-006,Delhi NCR,BST-008,BST-020,28
PROD-006,Delhi NCR,BST-008,BST-014,27
PROD-006,Delhi NCR,BST-008,BST-016,19
PROD-006,Delhi NCR,BST-008,BST-021,18
PROD-006,Delhi NCR,BST-008,BST-024,16
PROD-006,Delhi NCR,BST-008,BST-025,15
PROD-006,Delhi NCR,BST-008,BST-017,11
PROD-006,Delhi NCR,BST-008,BST-011,7
PROD-007,Delhi NCR,BST-001,BST-012,35
PROD-007,Delhi NCR,BST-001,BST-015,35
PROD-007,Delhi NCR,BST-001,BST-023,27
PROD-007,Delhi NCR,BST-001,BST-016,19
PROD-007,Delhi NCR,BST-001,BST-006,15
PROD-007,Delhi NCR,BST-001,BST-022,15
PROD-007,Delhi NCR,BST-001,BST-005,11
PROD-007,Delhi NCR,BST-001,BST-020,10
PROD-007,Delhi NCR,BST-001,BST-008,6
PROD-008,Delhi NCR,BST-004,BST-003,86
PROD-008,Delhi NCR,BST-004,BST-015,30
PROD-008,Delhi NCR,BST-004,BST-023,26
PROD-008,Delhi NCR,BST-004,BST-012,10
PROD-008,Delhi NCR,BST-004,BST-013,8
PROD-008,Delhi NCR,BST-004,BST-020,6
PROD-008,Delhi NCR,BST-004,BST-010,6
PROD-008,Delhi NCR,BST-004,BST-019,5
PROD-008,Delhi NCR,BST-004,BST-014,4
PROD-008,Delhi NCR,BST-004,BST-016,3
PROD-008,Delhi NCR,BST-004,BST-006,1
PROD-009,Delhi NCR,BST-005,BST-012,34
PROD-009,Delhi NCR,BST-005,BST-023,19
PROD-009,Delhi NCR,BST-005,BST-015,16
PROD-009,Delhi NCR,BST-005,BST-020,15
PROD-009,Delhi NCR,BST-005,BST-008,10
PROD-009,Delhi NCR,BST-005,BST-001,6
PROD-009,Delhi NCR,BST-005,BST-016,4
PROD-009,Delhi NCR,BST-005,BST-022,4
PROD-009,Delhi NCR,BST-005,BST-019,2
PROD-010,Delhi NCR,BST-008,BST-003,503
PROD-010,Delhi NCR,BST-008,BST-006,242
PROD-010,Delhi NCR,BST-008,BST-020,4
PROD-010,Delhi NCR,BST-008,BST-022,4
PROD-010,Delhi NCR,BST-008,BST-024,2
PROD-011,Delhi NCR,BST-002,BST-001,200
PROD-011,Delhi NCR,BST-002,BST-008,32
PROD-011,Delhi NCR,BST-002,BST-007,10
PROD-011,Delhi NCR,BST-002,BST-013,8
PROD-011,Delhi NCR,BST-002,BST-016,5
PROD-011,Delhi NCR,BST-002,BST-004,5
PROD-011,Delhi NCR,BST-002,BST-014,3
PROD-011,Delhi NCR,BST-002,BST-022,3
PROD-011,Delhi NCR,BST-002,BST-021,2
PROD-011,Delhi NCR,BST-002,BST-018,2
PROD-011,Delhi NCR,BST-002,BST-017,1
PROD-011,Delhi NCR,BST-002,BST-020,1
PROD-012,Delhi NCR,BST-004,BST-003,417
PROD-012,Delhi NCR,BST-004,BST-001,382
PROD-012,Delhi NCR,BST-004,BST-015,9
PROD-012,Delhi NCR,BST-004,BST-012,6
PROD-012,Delhi NCR,BST-004,BST-010,5
PROD-012,Delhi NCR,BST-004,BST-008,4
PROD-012,Delhi NCR,BST-004,BST-021,2
PROD-012,Delhi NCR,BST-004,BST-024,1
PROD-012,Delhi NCR,BST-004,BST-023,1
PROD-013,Delhi NCR,BST-006,BST-003,182
PROD-013,Delhi NCR,BST-006,BST-016,14
PROD-013,Delhi NCR,BST-006,BST-009,8
PROD-013,Delhi NCR,BST-006,BST-001,7
PROD-013,Delhi NCR,BST-006,BST-002,7
PROD-013,Delhi NCR,BST-006,BST-011,5
PROD-013,Delhi NCR,BST-006,BST-020,4
PROD-013,Delhi NCR,BST-006,BST-023,4
PROD-013,Delhi NCR,BST-006,BST-005,4
PROD-013,Delhi NCR,BST-006,BST-015,2
PROD-014,Delhi NCR,BST-007,BST-003,186
PROD-014,Delhi NCR,BST-007,BST-009,19
PROD-014,Delhi NCR,BST-007,BST-016,14
PROD-014,Delhi NCR,BST-007,BST-005,12
PROD-014,Delhi NCR,BST-007,BST-011,7
PROD-014,Delhi NCR,BST-007,BST-012,3
PROD-014,Delhi NCR,BST-007,BST-023,3
PROD-014,Delhi NCR,BST-007,BST-002,2
PROD-015,Delhi NCR,BST-004,BST-016,11
PROD-015,Delhi NCR,BST-004,BST-009,10
PROD-015,Delhi NCR,BST-004,BST-025,6
PROD-015,Delhi NCR,BST-004,BST-008,4
PROD-015,Delhi NCR,BST-004,BST-022,2
PROD-016,Delhi NCR,BST-002,BST-004,7
PROD-016,Delhi NCR,BST-002,BST-020,7
PROD-016,Delhi NCR,BST-002,BST-017,6
PROD-016,Delhi NCR,BST-002,BST-010,6
PROD-016,Delhi NCR,BST-002,BST-007,5
PROD-016,Delhi NCR,BST-002,BST-009,5
PROD-016,Delhi NCR,BST-002,BST-023,4
PROD-016,Delhi NCR,BST-002,BST-006,4
PROD-016,Delhi NCR,BST-002,BST-025,4
PROD-016,Delhi NCR,BST-002,BST-021,3
PROD-016,Delhi NCR,BST-002,BST-024,1
PROD-017,Delhi NCR,BST-009,BST-002,4
PROD-017,Delhi NCR,BST-009,BST-001,3
PROD-017,Delhi NCR,BST-009,BST-012,3
PROD-017,Delhi NCR,BST-009,BST-008,1
PROD-017,Delhi NCR,BST-009,BST-017,1
PROD-018,Delhi NCR,BST-001,BST-015,5
PROD-018,Delhi NCR,BST-001,BST-013,4
PROD-018,Delhi NCR,BST-001,BST-019,2
PROD-018,Delhi NCR,BST-001,BST-002,2
PROD-019,Delhi NCR,BST-005,BST-014,75
PROD-019,Delhi NCR,BST-005,BST-013,74
PROD-019,Delhi NCR,BST-005,BST-022,54
PROD-019,Delhi NCR,BST-005,BST-025,54
PROD-019,Delhi NCR,BST-005,BST-003,53
PROD-019,Delhi NCR,BST-005,BST-020,25
PROD-019,Delhi NCR,BST-005,BST-010,20
PROD-019,Delhi NCR,BST-005,BST-017,10
PROD-019,Delhi NCR,BST-005,BST-023,8
PROD-019,Delhi NCR,BST-005,BST-009,6
PROD-019,Delhi NCR,BST-005,BST-024,5
PROD-019,Delhi NCR,BST-005,BST-015,3
PROD-019,Delhi NCR,BST-005,BST-011,2
PROD-019,Delhi NCR,BST-005,BST-008,2
PROD-020,Delhi NCR,BST-003,BST-005,532
PROD-020,Delhi NCR,BST-003,BST-008,67
PROD-020,Delhi NCR,BST-003,BST-004,65
PROD-020,Delhi NCR,BST-003,BST-002,60
PROD-020,Delhi NCR,BST-003,BST-025,57
PROD-020,Delhi NCR,BST-003,BST-022,50
PROD-020,Delhi NCR,BST-003,BST-011,24
PROD-020,Delhi NCR,BST-003,BST-021,15
PROD-020,Delhi NCR,BST-003,BST-007,12
PROD-020,Delhi NCR,BST-003,BST-013,12
PROD-020,Delhi NCR,BST-003,BST-010,10
PROD-020,Delhi NCR,BST-003,BST-018,6
PROD-020,Delhi NCR,BST-003,BST-020,5
PROD-020,Delhi NCR,BST-003,BST-024,2
PROD-021,Delhi NCR,BST-008,BST-018,50
PROD-021,Delhi NCR,BST-008,BST-021,33
PROD-021,Delhi NCR,BST-008,BST-017,15
PROD-021,Delhi NCR,BST-008,BST-013,15
PROD-021,Delhi NCR,BST-008,BST-015,14
PROD-021,Delhi NCR,BST-008,BST-004,13
PROD-021,Delhi NCR,BST-008,BST-025,11
PROD-021,Delhi NCR,BST-008,BST-019,8
PROD-021,Delhi NCR,BST-008,BST-011,5
PROD-022,Delhi NCR,BST-007,BST-009,658
PROD-022,Delhi NCR,BST-007,BST-010,142
PROD-022,Delhi NCR,BST-007,BST-004,133
PROD-022,Delhi NCR,BST-007,BST-022,13
PROD-022,Delhi NCR,BST-007,BST-014,11
PROD-022,Delhi NCR,BST-007,BST-011,10
PROD-022,Delhi NCR,BST-007,BST-024,8
PROD-022,Delhi NCR,BST-007,BST-006,8
PROD-022,Delhi NCR,BST-007,BST-015,7
PROD-022,Delhi NCR,BST-007,BST-005,4
PROD-023,Delhi NCR,BST-004,BST-010,352
PROD-023,Delhi NCR,BST-004,BST-014,16
PROD-023,Delhi NCR,BST-004,BST-003,10
PROD-023,Delhi NCR,BST-004,BST-021,9
PROD-023,Delhi NCR,BST-004,BST-016,7
PROD-023,Delhi NCR,BST-004,BST-001,5
PROD-023,Delhi NCR,BST-004,BST-012,5
PROD-023,Delhi NCR,BST-004,BST-005,1
PROD-024,Delhi NCR,BST-001,BST-015,14
PROD-024,Delhi NCR,BST-001,BST-023,10
PROD-024,Delhi NCR,BST-001,BST-009,9
PROD-024,Delhi NCR,BST-001,BST-019,7
PROD-024,Delhi NCR,BST-001,BST-007,7
PROD-024,Delhi NCR,BST-001,BST-022,5
PROD-024,Delhi NCR,BST-001,BST-002,4
PROD-024,Delhi NCR,BST-001,BST-003,4
PROD-024,Delhi NCR,BST-001,BST-008,3
PROD-025,Delhi NCR,BST-003,BST-001,569
PROD-025,Delhi NCR,BST-003,BST-004,556
PROD-025,Delhi NCR,BST-003,BST-012,4
PROD-025,Delhi NCR,BST-003,BST-010,4
PROD-025,Delhi NCR,BST-003,BST-018,2
PROD-026,Delhi NCR,BST-010,BST-016,4
PROD-026,Delhi NCR,BST-010,BST-020,3
PROD-026,Delhi NCR,BST-010,BST-024,2
PROD-027,Delhi NCR,BST-007,BST-017,8
PROD-027,Delhi NCR,BST-007,BST-012,6
PROD-027,Delhi NCR,BST-007,BST-016,5
PROD-027,Delhi NCR,BST-007,BST-015,4
PROD-027,Delhi NCR,BST-007,BST-009,1
PROD-028,Delhi NCR,BST-010,BST-021,8
PROD-028,Delhi NCR,BST-010,BST-013,7
PROD-028,Delhi NCR,BST-010,BST-012,6
PROD-028,Delhi NCR,BST-010,BST-018,5
PROD-028,Delhi NCR,BST-010,BST-025,4
PROD-028,Delhi NCR,BST-010,BST-024,3
PROD-028,Delhi NCR,BST-010,BST-015,3
PROD-028,Delhi NCR,BST-010,BST-004,3
PROD-029,Delhi NCR,BST-001,BST-022,5
PROD-029,Delhi NCR,BST-001,BST-024,5
PROD-029,Delhi NCR,BST-001,BST-004,4
PROD-029,Delhi NCR,BST-001,BST-025,4
PROD-029,Delhi NCR,BST-001,BST-015,4
PROD-029,Delhi NCR,BST-001,BST-012,3
PROD-030,Delhi NCR,BST-002,BST-004,111
PROD-030,Delhi NCR,BST-002,BST-020,8
PROD-030,Delhi NCR,BST-002,BST-003,7
PROD-030,Delhi NCR,BST-002,BST-012,6
PROD-030,Delhi NCR,BST-002,BST-015,6
PROD-030,Delhi NCR,BST-002,BST-001,3
PROD-030,Delhi NCR,BST-002,BST-018,2
PROD-031,Delhi NCR,BST-009,BST-023,3
PROD-031,Delhi NCR,BST-009,BST-001,1
PROD-031,Delhi NCR,BST-009,BST-012,1
PROD-031,Delhi NCR,BST-009,BST-013,1
PROD-031,Delhi NCR,BST-009,BST-014,1
PROD-031,Delhi NCR,BST-009,BST-016,1
PROD-032,Delhi NCR,BST-010,BST-019,3
PROD-032,Delhi NCR,BST-010,BST-012,2
PROD-033,Delhi NCR,BST-005,BST-009,482
PROD-033,Delhi NCR,BST-005,BST-001,389
PROD-033,Delhi NCR,BST-005,BST-017,4
PROD-033,Delhi NCR,BST-005,BST-007,3
PROD-033,Delhi NCR,BST-005,BST-024,3
PROD-034,Delhi NCR,BST-004,BST-002,1570
