Product_ID,Supplier_ID,Supplier_Name,Supplier_Price,Lead_Time,Supplier_Rating,supplier_score,rank_in_product
PROD-032,SUP-032-C,Fevicryl Colors Ltd,27.0,1,4.3,0.2,3
PROD-033,SUP-033-A,ServD Pooja Decoratives,15.0,1,4.5,0.7667,1
PROD-033,SUP-033-B,Vidya Rakhi Craft Delhi,13.95,3,4.0,0.5,2
PROD-033,SUP-033-C,Fevicryl Colors Ltd,16.2,1,4.5,0.5,3
PROD-034,SUP-034-A,ServD Pooja Decoratives,160.0,1,4.5,0.6467,1
PROD-034,SUP-034-B,Vidya Rakhi Craft Delhi,148.8,3,4.2,0.5,2
PROD-034,SUP-034-C,Fevicryl Colors Ltd,172.8,1,4.7,0.5,3
PROD-035,SUP-035-A,ServD Pooja Decoratives,40.0,1,4.5,0.7667,1
PROD-035,SUP-035-B,Vidya Rakhi Craft Delhi,37.2,3,4.4,0.65,2
PROD-035,SUP-035-C,Fevicryl Colors Ltd,43.2,1,4.3,0.2,3
