Supplier_ID,Supplier_Name,Product_ID,Supplier_Price,Lead_Time,Minimum_Order,Supplier_Rating,Supplier_City,Supplier_Latitude,Supplier_Longitude
SUP-013-C,A4 Stationery Wholesalers,PROD-013,37.8,1,5,4.6,Pune,18.6455,73.894
SUP-014-A,DOMS Industries Delhi,PROD-014,25.0,1,20,4.6,Delhi NCR,28.7785,77.1502
SUP-014-B,Creative Paper Mills Ltd,PROD-014,23.25,3,50,4.2,Mumbai,18.9294,72.7325
SUP-014-C,A4 Stationery Wholesalers,PROD-014,27.0,1,5,4.2,Pune,18.6455,73.894
SUP-015-A,DOMS Industries Delhi,PROD-015,36.0,1,20,4.8,Delhi NCR,28.7785,77.1502
SUP-015-B,Creative Paper Mills Ltd,PROD-015,33.48,3,50,4.2,Mumbai,18.9294,72.7325
SUP-015-C,A4 Stationery Wholesalers,PROD-015,38.88,1,5,4.2,Pune,18.6455,73.894
SUP-016-A,Nayasa Household Plastics,PROD-016,50.0,1,20,4.7,Hyderabad,17.4956,78.5694
SUP-016-B,Trident Cotton Textiles,PROD-016,46.5,3,50,3.9,Chennai,13.0957,80.441
SUP-016-C,Homestrap Closet Solutions,PROD-016,54.0,1,5,4.5,Kolkata,22.5289,88.3826
SUP-017-A,Nayasa Household Plastics,PROD-017,220.0,1,20,4.5,Hyderabad,17.4956,78.5694
SUP-017-B,Trident Cotton Textiles,PROD-017,204.6,3,50,4.1,Chennai,13.0957,80.441
SUP-017-C,Homestrap Closet Solutions,PROD-017,237.6,1,5,4.3,Kolkata,22.5289,88.3826
SUP-018-A,Nayasa Household Plastics,PROD-018,200.0,1,20,4.7,Hyderabad,17.4956,78.5694
SUP-018-B,Trident Cotton Textiles,PROD-018,186.0,3,50,3.9,Chennai,13.0957,80.441
SUP-018-C,Homestrap Closet Solutions,PROD-018,216.0,1,5,4.3,Kolkata,22.5289,88.3826
SUP-019-A,Safal Fresh Greens Delhi,PROD-019,32.0,1,20,4.5,Delhi NCR,28.7325,77.2517
SUP-019-B,Mumbai APMC Wholesalers,PROD-019,29.76,3,50,4.3,Mumbai,19.2062,72.9055
SUP-019-C,Bengaluru Organic Farms,PROD-019,34.56,1,5,4.5,Bengaluru,13.0452,77.4311
SUP-020-A,Safal Fresh Greens Delhi,PROD-020,18.0,1,20,4.6,Delhi NCR,28.7325,77.2517
SUP-020-B,Mumbai APMC Wholesalers,PROD-020,16.74,3,50,4.1,Mumbai,19.2062,72.9055
SUP-020-C,Bengaluru Organic Farms,PROD-020,19.44,1,5,4.3,Bengaluru,13.0452,77.4311
SUP-021-A,Safal Fresh Greens Delhi,PROD-021,28.0,1,20,4.8,Delhi NCR,28.7325,77.2517
SUP-021-B,Mumbai APMC Wholesalers,PROD-021,26.04,3,50,3.9,Mumbai,19.2062,72.9055
SUP-021-C,Bengaluru Organic Farms,PROD-021,30.24,1,5,4.3,Bengaluru,13.0452,77.4311
SUP-022-A,Parle Confectioners,PROD-022,38.0,1,20,4.6,Delhi NCR,28.5159,77.1332
SUP-022-B,Wrigley India Distributors,PROD-022,35.34,3,50,4.1,Bengaluru,12.8203,77.4984
SUP-022-C,Cadbury India Sourcing,PROD-022,41.04,1,5,4.3,Mumbai,18.9324,72.7978
SUP-023-A,Parle Confectioners,PROD-023,35.0,1,20,4.8,Delhi NCR,28.5159,77.1332
SUP-023-B,Wrigley India Distributors,PROD-023,32.55,3,50,4.2,Bengaluru,12.8203,77.4984
SUP-023-C,Cadbury India Sourcing,PROD-023,37.8,1,5,4.5,Mumbai,18.9324,72.7978
SUP-024-A,Parle Confectioners,PROD-024,35.0,1,20,4.8,Delhi NCR,28.5159,77.1332
SUP-024-B,Wrigley India Distributors,PROD-024,32.55,3,50,4.1,Bengaluru,12.8203,77.4984
SUP-024-C,Cadbury India Sourcing,PROD-024,37.8,1,5,4.7,Mumbai,18.9324,72.7978
SUP-025-A,Kellogg Cereal Packers,PROD-025,90.0,1,20,4.6,Pune,18.5692,73.808
SUP-025-B,Bagrrys Cereals Delhi,PROD-025,83.7,3,50,4.3,Delhi NCR,28.5672,77.1044
SUP-025-C,Nuts & Spices Trading,PROD-025,97.2,1,5,4.3,Hyderabad,17.3011,78.6439
SUP-026-A,Kellogg Cereal Packers,PROD-026,120.0,1,20,4.6,Pune,18.5692,73.808
SUP-026-B,Bagrrys Cereals Delhi,PROD-026,111.6,3,50,4.4,Delhi NCR,28.5672,77.1044
SUP-026-C,Nuts & Spices Trading,PROD-026,129.6,1,5,4.5,Hyderabad,17.3011,78.6439
SUP-027-A,Kellogg Cereal Packers,PROD-027,72.0,1,20,4.7,Pune,18.5692,73.808
SUP-027-B,Bagrrys Cereals Delhi,PROD-027,66.96,3,50,4.2,Delhi NCR,28.5672,77.1044
SUP-027-C,Nuts & Spices Trading,PROD-027,77.76,1,5,4.3,Hyderabad,17.3011,78.6439
SUP-028-A,MTR Food Packers,PROD-028,100.0,1,20,4.7,Chennai,13.136,80.31
SUP-028-B,Pillsbury Milling Noida,PROD-028,93.0,3,50,4.1,Delhi NCR,28.4955,77.2915
SUP-028-C,Nestle Instant Foods,PROD-028,108.0,1,5,4.4,Kolkata,22.4514,88.3205
SUP-029-A,MTR Food Packers,PROD-029,78.0,1,20,4.6,Chennai,13.136,80.31
SUP-029-B,Pillsbury Milling Noida,PROD-029,72.54,3,50,3.9,Delhi NCR,28.4955,77.2915
SUP-029-C,Nestle Instant Foods,PROD-029,84.24,1,5,4.2,Kolkata,22.4514,88.3205
SUP-030-A,MTR Food Packers,PROD-030,28.0,1,20,4.8,Chennai,13.136,80.31
SUP-030-B,Pillsbury Milling Noida,PROD-030,26.04,3,50,4.0,Delhi NCR,28.4955,77.2915
SUP-030-C,Nestle Instant Foods,PROD-030,30.24,1,5,4.6,Kolkata,22.4514,88.3205
SUP-031-A,ServD Pooja Decoratives,PROD-031,40.0,1,20,4.5,Delhi NCR,28.7901,77.2594
SUP-031-B,Vidya Rakhi Craft Delhi,PROD-031,37.2,3,50,4.1,Delhi NCR,28.6344,77.2755
SUP-031-C,Fevicryl Colors Ltd,PROD-031,43.2,1,5,4.6,Bengaluru,13.095,77.694
SUP-032-A,ServD Pooja Decoratives,PROD-032,25.0,1,20,4.6,Delhi NCR,28.7901,77.2594
SUP-032-B,Vidya Rakhi Craft Delhi,PROD-032,23.25,3,50,4.3,Delhi NCR,28.6344,77.2755
SUP-032-C,Fevicryl Colors Ltd,PROD-032,27.0,1,5,4.3,Bengaluru,13.095,77.694
SUP-033-A,ServD Pooja Decoratives,PROD-033,15.0,1,20,4.5,Delhi NCR,28.7901,77.2594
SUP-033-B,Vidya Rakhi Craft Delhi,PROD-033,13.95,3,50,4.0,Delhi NCR,28.6344,77.2755
SUP-033-C,Fevicryl Colors Ltd,PROD-033,16.2,1,5,4.5,Bengaluru,13.095,77.694
SUP-034-A,ServD Pooja Decoratives,PROD-034,160.0,1,20,4.5,Delhi NCR,28.7901,77.2594
SUP-034-B,Vidya Rakhi Craft Delhi,PROD-034,148.8,3,50,4.2,Delhi NCR,28.6344,77.2755
SUP-034-C,Fevicryl Colors Ltd,PROD-034,172.8,1,5,4.7,Bengaluru,13.095,77.694
SUP-035-A,ServD Pooja Decoratives,PROD-035,40.0,1,20,4.5,Delhi NCR,28.7901,77.2594
SUP-035-B,Vidya Rakhi Craft Delhi,PROD-035,37.2,3,50,4.4,Delhi NCR,28.6344,77.2755
SUP-035-C,Fevicryl Colors Ltd,PROD-035,43.2,1,5,4.3,Bengaluru,13.095,77.694
