Store_ID,Product_ID,Current_Stock,Reserved_Stock,Safety_Stock,Maximum_Capacity
BST-005,PROD-030,13,5,4,52
BST-005,PROD-031,10,0,4,52
BST-005,PROD-032,1744,396,961,8629
BST-005,PROD-033,5968,60,229,6595
BST-005,PROD-034,13,1,4,52
BST-005,PROD-035,2531,300,1174,8227
BST-006,PROD-001,23,4,4,88
BST-006,PROD-002,3996,383,916,9432
BST-006,PROD-003,10,2,4,63
BST-006,PROD-004,0,0,4,77
BST-006,PROD-005,0,0,4,94
BST-006,PROD-006,697,197,889,3589
BST-006,PROD-007,4,4,4,77
BST-006,PROD-008,8,1,4,63
BST-006,PROD-009,14,1,4,70
BST-006,PROD-010,888,28,1100,9591
BST-006,PROD-011,18,1,4,52
BST-006,PROD-012,15,5,4,52
BST-006,PROD-013,2908,141,1101,5476
BST-006,PROD-014,5754,480,815,6000
BST-006,PROD-015,14,4,4,52
BST-006,PROD-016,6,5,4,52
BST-006,PROD-017,13,0,4,52
BST-006,PROD-018,1103,94,422,6500
BST-006,PROD-019,2555,244,894,4445
BST-006,PROD-020,1845,276,381,5200
BST-006,PROD-021,26,5,4,116
BST-006,PROD-022,7,5,4,88
BST-006,PROD-023,1706,16,1447,6541
BST-006,PROD-024,19,5,4,63
BST-006,PROD-025,5324,437,1356,8096
BST-006,PROD-026,1800,225,867,5113
BST-006,PROD-027,2039,93,1265,5117
BST-006,PROD-028,2191,124,501,4703
BST-006,PROD-029,12,5,4,52
BST-006,PROD-030,16,3,4,52
BST-006,PROD-031,1678,208,356,2310
BST-006,PROD-032,10,4,4,52
BST-006,PROD-033,3285,32,373,3348
BST-006,PROD-034,13,5,4,52
BST-006,PROD-035,39,3,4,52
BST-007,PROD-001,46,4,8,234
BST-007,PROD-002,2204,381,305,2451
BST-007,PROD-003,9,1,6,168
BST-007,PROD-004,2254,499,149,6591
BST-007,PROD-005,25,4,9,252
BST-007,PROD-006,1165,160,516,2142
BST-007,PROD-007,29,1,7,203
BST-007,PROD-008,38,0,6,168
BST-007,PROD-009,31,2,7,186
BST-007,PROD-010,804,103,164,1022
BST-007,PROD-011,4,3,4,84
BST-007,PROD-012,3240,123,523,3492
BST-007,PROD-013,1667,256,1287,9468
BST-007,PROD-014,7024,143,129,9057
BST-007,PROD-015,10,0,4,66
BST-007,PROD-016,4,1,4,52
BST-007,PROD-017,1893,91,904,5204
BST-007,PROD-018,2726,14,443,4769
BST-007,PROD-019,1943,442,316,2747
BST-007,PROD-020,40,2,15,420
BST-007,PROD-021,2719,298,343,4075
BST-007,PROD-022,1490,446,125,4758
BST-007,PROD-023,2344,452,582,3635
BST-007,PROD-024,18,5,6,168
BST-007,PROD-025,19,4,4,102
BST-007,PROD-026,25,2,4,84
BST-007,PROD-027,4692,293,1937,9845
BST-007,PROD-028,20,5,4,66
BST-007,PROD-029,15,4,4,52
BST-007,PROD-030,13,2,4,66
BST-007,PROD-031,10,3,4,52
BST-007,PROD-032,2047,279,603,3366
BST-007,PROD-033,6,4,4,52
BST-007,PROD-034,13,5,4,52
BST-007,PROD-035,39,3,4,52
BST-008,PROD-001,341,105,245,3633
BST-008,PROD-002,32,1,9,252
BST-008,PROD-003,263,4,411,9629
BST-008,PROD-004,5731,340,639,5811
BST-008,PROD-005,27,5,7,210
BST-008,PROD-006,7025,300,983,7079
BST-008,PROD-007,15,4,6,168
BST-008,PROD-008,1210,402,222,2894
BST-008,PROD-009,10,5,5,154
BST-008,PROD-010,8381,497,1740,9848
BST-008,PROD-011,792,195,624,2597
BST-008,PROD-012,10,5,4,84
BST-008,PROD-013,22,4,4,84
BST-008,PROD-014,1045,64,572,3473
BST-008,PROD-015,5,1,4,56
BST-008,PROD-016,11,3,4,52
BST-008,PROD-017,4,0,4,52
BST-008,PROD-018,19,3,4,52
BST-008,PROD-019,55,3,10,280
BST-008,PROD-020,4,4,12,350
BST-008,PROD-021,7190,149,180,8698
BST-008,PROD-022,1096,319,332,1594
BST-008,PROD-023,4535,278,1186,5028
BST-008,PROD-024,12,1,5,140
BST-008,PROD-025,24,3,4,84
BST-008,PROD-026,23,4,4,70
BST-008,PROD-027,1241,156,261,1356
BST-008,PROD-028,16,2,4,56
BST-008,PROD-029,12,2,4,52
BST-008,PROD-030,3700,311,1029,4690
BST-008,PROD-031,14,3,4,52
BST-008,PROD-032,17,2,4,52
BST-008,PROD-033,10,2,4,52
BST-008,PROD-034,13,5,4,52
BST-008,PROD-035,39,0,4,52
BST-009,PROD-001,2258,398,262,3146
BST-009,PROD-002,35,3,7,206
BST-009,PROD-003,15,3,4,116
BST-009,PROD-004,0,0,5,136
BST-009,PROD-005,0,0,6,172
BST-009,PROD-006,1172,136,678,3561
BST-009,PROD-007,1183,247,209,1203
BST-009,PROD-008,35,3,4,116
BST-009,PROD-009,1763,31,283,2539
BST-009,PROD-010,6295,45,401,6959
BST-009,PROD-011,1985,81,316,2009
BST-009,PROD-012,23,5,4,70
BST-009,PROD-013,9,0,4,70
BST-009,PROD-014,5,4,4,91
BST-009,PROD-015,6,3,4,52
BST-009,PROD-016,6,5,4,52
BST-009,PROD-017,2688,420,573,4630
BST-009,PROD-018,14,5,4,52
BST-009,PROD-019,23,5,8,231
BST-009,PROD-020,31,0,10,287
BST-009,PROD-021,41,4,7,206
BST-009,PROD-022,1508,334,1821,7849
BST-009,PROD-023,1474,468,941,9528
BST-009,PROD-024,3,0,4,116
BST-009,PROD-025,20,4,4,70
BST-009,PROD-026,14,1,4,56
BST-009,PROD-027,9,3,4,52
BST-009,PROD-028,1578,223,211,5157
BST-009,PROD-029,18,4,4,52
BST-009,PROD-030,17,4,4,52
BST-009,PROD-031,4378,146,1098,7907
BST-009,PROD-032,17,3,4,52
BST-009,PROD-033,121,5,590,4286
BST-009,PROD-034,13,4,4,52
BST-009,PROD-035,1489,378,275,1640
BST-010,PROD-001,34,5,7,210
BST-010,PROD-002,57,5,10,270
BST-010,PROD-003,4209,385,1014,5219
BST-010,PROD-004,0,0,6,178
BST-010,PROD-005,3773,441,596,4688
BST-010,PROD-006,1566,431,692,8111
BST-010,PROD-007,60,2,6,178
BST-010,PROD-008,12,3,5,150
BST-010,PROD-009,32,2,6,164
BST-010,PROD-010,1341,273,333,2548
BST-010,PROD-011,21,3,4,74
BST-010,PROD-012,9,4,4,91
BST-010,PROD-013,1724,303,335,2866
BST-010,PROD-014,37,5,4,119
BST-010,PROD-015,13,1,4,60
BST-010,PROD-016,5,4,4,52
BST-010,PROD-017,11,1,4,52
BST-010,PROD-018,3593,89,646,5936
BST-010,PROD-019,41,1,11,298
BST-010,PROD-020,64,4,13,374
BST-010,PROD-021,576,38,348,1927
BST-010,PROD-022,331,32,428,4818
BST-010,PROD-023,63,4,400,3370
BST-010,PROD-024,26,1,5,150
BST-010,PROD-025,10,4,4,91
BST-010,PROD-026,6100,496,1019,7093
BST-010,PROD-027,964,81,572,3001
BST-010,PROD-028,3723,85,258,5339
BST-010,PROD-029,17,2,4,52
BST-010,PROD-030,1950,460,208,5340
BST-010,PROD-031,2854,132,1292,7027
BST-010,PROD-032,4180,388,471,5194
BST-010,PROD-033,3956,489,1131,4666
BST-010,PROD-034,13,1,4,52
BST-010,PROD-035,39,4,4,52
BST-011,PROD-001,28,3,9,259
BST-011,PROD-002,45,0,12,332
BST-011,PROD-003,27,3,7,186
BST-011,PROD-004,33,1,8,224
BST-011,PROD-005,23,0,10,280
BST-011,PROD-006,24,5,9,242
BST-011,PROD-007,58,2,8,224
BST-011,PROD-008,48,2,7,186
BST-011,PROD-009,50,0,7,203
BST-011,PROD-010,12,1,4,74
BST-011,PROD-011,29,0,4,94
BST-011,PROD-012,24,4,4,112
BST-011,PROD-013,9,3,4,112
BST-011,PROD-014,11,4,5,147
BST-011,PROD-015,20,2,4,74
BST-011,PROD-016,14,4,4,56
BST-011,PROD-017,15,0,4,52
BST-011,PROD-018,8,2,4,52
BST-011,PROD-019,71,2,13,371
BST-011,PROD-020,73,5,16,466
BST-011,PROD-021,64,5,12,332
BST-011,PROD-022,16,1,9,259
BST-011,PROD-023,48,1,8,224
BST-011,PROD-024,41,4,7,186
BST-011,PROD-025,16,0,4,112
BST-011,PROD-026,31,0,4,94
BST-011,PROD-027,23,5,4,74
BST-011,PROD-028,20,3,4,74
BST-011,PROD-029,12,2,4,56
BST-011,PROD-030,12,2,4,74
BST-011,PROD-031,10,2,4,52
BST-011,PROD-032,9,3,4,52
BST-011,PROD-033,15,4,4,52
BST-011,PROD-034,13,1,4,52
BST-011,PROD-035,39,5,4,52
BST-012,PROD-001,11,4,7,200
BST-012,PROD-002,26,0,9,256
BST-012,PROD-003,19,3,5,144
BST-012,PROD-004,0,0,6,172
BST-012,PROD-005,38,0,8,214
BST-012,PROD-006,0,0,7,186
BST-012,PROD-007,0,0,6,172
BST-012,PROD-008,23,3,5,144
BST-012,PROD-009,0,0,6,158
BST-012,PROD-010,17,2,4,56
BST-012,PROD-011,16,5,4,70
BST-012,PROD-012,5,1,4,84
BST-012,PROD-013,14,5,4,84
BST-012,PROD-014,13,4,4,112
BST-012,PROD-015,12,1,4,56
BST-012,PROD-016,11,3,4,52
BST-012,PROD-017,7,5,4,52
BST-012,PROD-018,10,4,4,52
BST-012,PROD-019,42,5,10,284
BST-012,PROD-020,43,4,13,354
BST-012,PROD-021,71,2,9,256
BST-012,PROD-022,39,1,7,200
BST-012,PROD-023,14,0,6,172
BST-012,PROD-024,36,3,5,144
BST-012,PROD-025,6,0,4,84
BST-012,PROD-026,18,1,4,70
BST-012,PROD-027,3,1,4,56
BST-012,PROD-028,4,2,4,56
BST-012,PROD-029,9,5,4,52
BST-012,PROD-030,2,0,4,56
BST-012,PROD-031,8,4,4,52
BST-012,PROD-032,7,4,4,52
BST-012,PROD-033,9,3,4,52
BST-012,PROD-034,13,5,4,52
BST-012,PROD-035,39,1,4,52
BST-013,PROD-001,47,0,10,290
BST-013,PROD-002,44,3,13,371
BST-013,PROD-003,28,0,7,206
BST-013,PROD-004,38,1,9,248
BST-013,PROD-005,44,1,11,308
BST-013,PROD-006,57,2,9,270
BST-013,PROD-007,73,3,9,248
BST-013,PROD-008,13,1,7,206
BST-013,PROD-009,62,5,8,228
BST-013,PROD-010,16,0,4,84
BST-013,PROD-011,8,5,4,102
BST-013,PROD-012,33,4,4,122
BST-013,PROD-013,21,2,4,122
BST-013,PROD-014,42,1,6,164
BST-013,PROD-015,25,5,4,84
BST-013,PROD-016,21,5,4,63
BST-013,PROD-017,18,3,4,52
BST-013,PROD-018,6,3,4,52
BST-013,PROD-019,10,3,15,413
BST-013,PROD-020,89,2,18,514
BST-013,PROD-021,61,4,13,371
BST-013,PROD-022,33,2,10,290
BST-013,PROD-023,41,4,9,248
BST-013,PROD-024,39,5,7,206
BST-013,PROD-025,19,1,4,122
BST-013,PROD-026,20,4,4,102
BST-013,PROD-027,25,3,4,84
BST-013,PROD-028,7,5,4,84
BST-013,PROD-029,9,0,4,63
BST-013,PROD-030,25,1,4,84
BST-013,PROD-031,7,3,4,52
BST-013,PROD-032,14,5,4,52
BST-013,PROD-033,11,2,4,52
BST-013,PROD-034,13,4,4,52
BST-013,PROD-035,39,1,4,52
BST-014,PROD-001,36,4,10,284
BST-014,PROD-002,51,0,13,364
BST-014,PROD-003,25,1,7,203
BST-014,PROD-004,1,1,9,245
BST-014,PROD-005,5,0,11,304
BST-014,PROD-006,0,0,9,262
BST-014,PROD-007,62,3,9,245
BST-014,PROD-008,17,1,7,203
BST-014,PROD-009,71,2,8,224
BST-014,PROD-010,17,4,4,80
BST-014,PROD-011,12,5,4,102
BST-014,PROD-012,19,2,4,122
BST-014,PROD-013,32,5,4,122
BST-014,PROD-014,26,4,6,161
BST-014,PROD-015,9,0,4,80
BST-014,PROD-016,11,0,4,60
BST-014,PROD-017,13,3,4,52
BST-014,PROD-018,7,1,4,52
BST-014,PROD-019,6,2,14,406
BST-014,PROD-020,111,2,18,508
BST-014,PROD-021,83,1,13,364
BST-014,PROD-022,17,0,10,284
BST-014,PROD-023,11,2,9,245
BST-014,PROD-024,48,0,7,203
BST-014,PROD-025,40,1,4,122
BST-014,PROD-026,31,3,4,102
BST-014,PROD-027,25,2,4,80
BST-014,PROD-028,19,5,4,80
BST-014,PROD-029,12,4,4,60
BST-014,PROD-030,24,3,4,80
BST-014,PROD-031,7,3,4,52
BST-014,PROD-032,15,2,4,52
BST-014,PROD-033,15,4,4,52
BST-014,PROD-034,13,3,4,52
BST-014,PROD-035,39,0,4,52
BST-015,PROD-001,46,5,7,192
BST-015,PROD-002,62,5,9,245
BST-015,PROD-003,104,4,5,136
BST-015,PROD-004,0,0,6,164
BST-015,PROD-005,0,0,7,206
BST-015,PROD-006,0,0,6,178
BST-015,PROD-007,0,0,6,164
BST-015,PROD-008,0,0,5,136
BST-015,PROD-009,18,2,5,150
BST-015,PROD-010,14,5,4,56
BST-015,PROD-011,20,4,4,70
BST-015,PROD-012,2,1,4,80
BST-015,PROD-013,13,5,4,80
BST-015,PROD-014,27,2,4,108
BST-015,PROD-015,17,5,4,56
BST-015,PROD-016,12,0,4,52
BST-015,PROD-017,13,2,4,52
BST-015,PROD-018,6,5,4,52
BST-015,PROD-019,29,2,10,273
BST-015,PROD-020,84,2,12,343
BST-015,PROD-021,16,4,9,245
BST-015,PROD-022,18,5,7,192
BST-015,PROD-023,40,1,6,164
BST-015,PROD-024,4,4,5,136
BST-015,PROD-025,11,0,4,80
BST-015,PROD-026,11,1,4,70
BST-015,PROD-027,9,5,4,56
BST-015,PROD-028,9,4,4,56
BST-015,PROD-029,8,5,4,52
BST-015,PROD-030,4,2,4,56
BST-015,PROD-031,10,1,4,52
BST-015,PROD-032,7,2,4,52
BST-015,PROD-033,11,3,4,52
BST-015,PROD-034,13,2,4,52
BST-015,PROD-035,39,2,4,52
BST-016,PROD-001,32,5,4,122
BST-016,PROD-002,34,4,6,158
BST-016,PROD-003,8,3,4,88
BST-016,PROD-004,0,0,4,105
BST-016,PROD-005,0,0,5,130
BST-016,PROD-006,100,0,4,112
BST-016,PROD-007,0,0,4,105
BST-016,PROD-008,9,2,4,88
BST-016,PROD-009,9,3,4,94
BST-016,PROD-010,18,2,4,52
BST-016,PROD-011,6,4,4,52
BST-016,PROD-012,15,5,4,52
BST-016,PROD-013,0,0,4,52
BST-016,PROD-014,7,4,4,70
BST-016,PROD-015,3,3,4,52
BST-016,PROD-016,6,1,4,52
BST-016,PROD-017,13,4,4,52
BST-016,PROD-018,7,1,4,52
BST-016,PROD-019,46,5,6,175
BST-016,PROD-020,37,0,8,217
BST-016,PROD-021,23,4,6,158
BST-016,PROD-022,26,0,4,122
BST-016,PROD-023,5,1,4,105
BST-016,PROD-024,23,0,4,88
BST-016,PROD-025,17,5,4,52
BST-016,PROD-026,8,5,4,52
BST-016,PROD-027,5,4,4,52
BST-016,PROD-028,13,2,4,52
BST-016,PROD-029,14,2,4,52
BST-016,PROD-030,10,4,4,52
BST-016,PROD-031,7,3,4,52
BST-016,PROD-032,7,1,4,52
BST-016,PROD-033,12,4,4,52
BST-016,PROD-034,13,4,4,52
BST-016,PROD-035,39,4,4,52
BST-017,PROD-001,46,1,8,231
BST-017,PROD-002,33,4,10,298
BST-017,PROD-003,24,3,6,164
BST-017,PROD-004,25,0,7,196
BST-017,PROD-005,38,2,9,248
BST-017,PROD-006,16,4,8,214
BST-017,PROD-007,49,5,7,196
BST-017,PROD-008,37,0,6,164
BST-017,PROD-009,25,1,6,182
BST-017,PROD-010,17,5,4,66
BST-017,PROD-011,12,4,4,84
BST-017,PROD-012,16,4,4,98
BST-017,PROD-013,23,3,4,98
BST-017,PROD-014,23,2,5,133
BST-017,PROD-015,12,2,4,66
BST-017,PROD-016,5,4,4,52
BST-017,PROD-017,5,1,4,52
BST-017,PROD-018,12,3,4,52
BST-017,PROD-019,58,4,12,329
BST-017,PROD-020,84,4,15,413
BST-017,PROD-021,48,5,10,298
BST-017,PROD-022,54,4,8,231
BST-017,PROD-023,55,3,7,196
BST-017,PROD-024,30,2,6,164
BST-017,PROD-025,33,3,4,98
BST-017,PROD-026,23,5,4,84
BST-017,PROD-027,5,5,4,66
BST-017,PROD-028,23,1,4,66
BST-017,PROD-029,11,0,4,52
BST-017,PROD-030,21,1,4,66
BST-017,PROD-031,13,4,4,52
BST-017,PROD-032,11,1,4,52
BST-017,PROD-033,4,3,4,52
BST-017,PROD-034,13,1,4,52
BST-017,PROD-035,39,0,4,52
BST-018,PROD-001,27,1,7,200
BST-018,PROD-002,30,0,9,256
BST-018,PROD-003,21,4,5,144
BST-018,PROD-004,14,5,6,172
BST-018,PROD-005,3,3,8,214
BST-018,PROD-006,29,0,7,186
BST-018,PROD-007,28,0,6,172
BST-018,PROD-008,20,2,5,144
BST-018,PROD-009,34,5,6,158
BST-018,PROD-010,18,5,4,56
BST-018,PROD-011,7,0,4,70
BST-018,PROD-012,19,5,4,84
BST-018,PROD-013,12,3,4,84
BST-018,PROD-014,12,0,4,116
BST-018,PROD-015,10,1,4,56
BST-018,PROD-016,13,0,4,52
BST-018,PROD-017,18,1,4,52
BST-018,PROD-018,14,0,4,52
BST-018,PROD-019,64,4,10,287
BST-018,PROD-020,62,1,13,357
BST-018,PROD-021,0,0,9,256
BST-018,PROD-022,23,4,7,200
BST-018,PROD-023,26,4,6,172
BST-018,PROD-024,24,2,5,144
BST-018,PROD-025,11,4,4,84
BST-018,PROD-026,18,2,4,70
BST-018,PROD-027,10,0,4,56
BST-018,PROD-028,8,5,4,56
BST-018,PROD-029,7,1,4,52
BST-018,PROD-030,7,1,4,56
BST-018,PROD-031,13,2,4,52
BST-018,PROD-032,6,2,4,52
BST-018,PROD-033,15,0,4,52
BST-018,PROD-034,13,5,4,52
BST-018,PROD-035,39,4,4,52
BST-019,PROD-001,27,5,7,192
BST-019,PROD-002,43,2,9,245
BST-019,PROD-003,9,0,5,136
BST-019,PROD-004,18,1,6,164
BST-019,PROD-005,51,3,7,206
BST-019,PROD-006,32,1,6,178
BST-019,PROD-007,53,5,6,164
BST-019,PROD-008,12,3,5,136
BST-019,PROD-009,16,3,5,150
BST-019,PROD-010,19,3,4,56
BST-019,PROD-011,11,3,4,70
BST-019,PROD-012,23,4,4,80
BST-019,PROD-013,16,0,4,80
BST-019,PROD-014,25,2,4,108
BST-019,PROD-015,15,0,4,56
BST-019,PROD-016,13,5,4,52
BST-019,PROD-017,10,2,4,52
BST-019,PROD-018,6,3,4,52
BST-019,PROD-019,67,1,10,273
BST-019,PROD-020,66,2,12,343
BST-019,PROD-021,45,4,9,245
BST-019,PROD-022,54,2,7,192
BST-019,PROD-023,24,3,6,164
BST-019,PROD-024,7,0,5,136
BST-019,PROD-025,24,3,4,80
BST-019,PROD-026,16,3,4,70
BST-019,PROD-027,12,2,4,56
BST-019,PROD-028,18,3,4,56
BST-019,PROD-029,13,1,4,52
BST-019,PROD-030,12,2,4,56
BST-019,PROD-031,7,0,4,52
BST-019,PROD-032,13,1,4,52
BST-019,PROD-033,16,0,4,52
BST-019,PROD-034,13,1,4,52
BST-019,PROD-035,39,0,4,52
BST-020,PROD-001,43,2,6,178
BST-020,PROD-002,62,0,8,228
BST-020,PROD-003,31,1,4,126
BST-020,PROD-004,0,0,5,154
BST-020,PROD-005,0,0,7,189
BST-020,PROD-006,0,0,6,164
BST-020,PROD-007,24,5,5,154
BST-020,PROD-008,19,0,4,126
BST-020,PROD-009,17,3,5,140
BST-020,PROD-010,5,2,4,52
BST-020,PROD-011,7,0,4,63
BST-020,PROD-012,17,2,4,77
BST-020,PROD-013,6,1,4,77
BST-020,PROD-014,22,0,4,102
BST-020,PROD-015,16,1,4,52
BST-020,PROD-016,5,5,4,52
BST-020,PROD-017,13,1,4,52
BST-020,PROD-018,14,2,4,52
BST-020,PROD-019,2,1,9,256
BST-020,PROD-020,27,0,11,318
BST-020,PROD-021,50,5,8,228
BST-020,PROD-022,35,1,6,178
BST-020,PROD-023,27,0,5,154
BST-020,PROD-024,15,0,4,126
BST-020,PROD-025,16,3,4,77
BST-020,PROD-026,8,3,4,63
BST-020,PROD-027,18,4,4,52
BST-020,PROD-028,13,5,4,52
BST-020,PROD-029,7,0,4,52
BST-020,PROD-030,3,3,4,52
BST-020,PROD-031,10,2,4,52
BST-020,PROD-032,14,4,4,52
BST-020,PROD-033,11,2,4,52
BST-020,PROD-034,13,4,4,52
BST-020,PROD-035,39,4,4,52
BST-021,PROD-001,26,0,7,192
BST-021,PROD-002,40,1,9,248
BST-021,PROD-003,28,0,5,136
BST-021,PROD-004,25,2,6,164
BST-021,PROD-005,29,2,7,206
BST-021,PROD-006,5,5,6,178
BST-021,PROD-007,37,4,6,164
BST-021,PROD-008,16,0,5,136
BST-021,PROD-009,47,4,5,150
BST-021,PROD-010,19,1,4,56
BST-021,PROD-011,9,3,4,70
BST-021,PROD-012,7,0,4,84
BST-021,PROD-013,16,5,4,84
BST-021,PROD-014,25,4,4,108
BST-021,PROD-015,15,5,4,56
BST-021,PROD-016,6,2,4,52
