Inventory_ID,Store_ID,Product_ID,Current_Stock,Reserved_Stock,Safety_Stock,Maximum_Capacity,Incoming_Stock,Last_Restock_Date,Inventory_Status
INV00102,BST-006,PROD-019,2555,244,894,4445,33,2026-07-12,Normal
INV00103,BST-006,PROD-014,5754,480,815,6000,246,2026-07-13,Overstocked
INV00104,BST-006,PROD-045,4316,367,494,9179,708,2026-07-19,Normal
INV00105,BST-006,PROD-002,3996,383,916,9432,12,2026-07-14,Normal
INV00106,BST-006,PROD-033,3285,32,373,3348,63,2026-07-10,Overstocked
INV00107,BST-006,PROD-036,442,99,431,6589,579,2026-07-28,Normal
INV00108,BST-006,PROD-028,2191,124,501,4703,502,2026-07-03,Normal
INV00109,BST-006,PROD-031,1678,208,356,2310,494,2026-07-06,Normal
INV00110,BST-006,PROD-026,1800,225,867,5113,238,2026-07-23,Normal
INV00111,BST-006,PROD-027,2039,93,1265,5117,506,2026-07-27,Normal
INV00112,BST-006,PROD-010,888,28,1100,9591,295,2026-07-07,Low Stock
INV00113,BST-006,PROD-025,5324,437,1356,8096,155,2026-07-19,Normal
INV00114,BST-006,PROD-039,4503,55,997,8569,382,2026-07-27,Normal
INV00115,BST-006,PROD-018,1103,94,422,6500,30,2026-07-06,Normal
INV00116,BST-006,PROD-048,502,118,367,1872,743,2026-07-11,Normal
INV00117,BST-006,PROD-020,1845,276,381,5200,928,2026-07-15,Normal
INV00118,BST-006,PROD-050,1925,181,937,5113,598,2026-07-09,Normal
INV00119,BST-006,PROD-023,1706,16,1447,6541,28,2026-07-19,Normal
INV00120,BST-006,PROD-006,697,197,889,3589,703,2026-07-04,Low Stock
INV00121,BST-007,PROD-004,2279,499,149,6591,197,2026-07-28,Normal
INV00122,BST-007,PROD-019,1943,442,316,2747,739,2026-07-01,Normal
INV00123,BST-007,PROD-010,804,103,164,1022,218,2026-07-25,Normal
INV00124,BST-007,PROD-032,2047,279,603,3366,321,2026-07-23,Normal
INV00125,BST-007,PROD-017,1893,91,904,5204,623,2026-07-24,Normal
INV00126,BST-007,PROD-042,2076,335,186,9614,598,2026-07-04,Normal
INV00127,BST-007,PROD-021,2719,298,343,4075,647,2026-07-24,Normal
INV00128,BST-007,PROD-013,1667,256,1287,9468,233,2026-07-08,Normal
INV00129,BST-007,PROD-012,3240,123,523,3492,5,2026-07-28,Overstocked
INV00130,BST-007,PROD-018,2726,14,443,4769,34,2026-07-09,Normal
INV00131,BST-007,PROD-002,2204,381,305,2451,247,2026-07-08,Overstocked
INV00132,BST-007,PROD-014,7024,143,129,9057,399,2026-07-06,Normal
INV00133,BST-007,PROD-041,1270,28,557,7117,931,2026-07-03,Normal
INV00134,BST-007,PROD-022,1490,446,125,4758,328,2026-07-13,Normal
INV00135,BST-007,PROD-006,1165,160,516,2142,666,2026-07-31,Normal
INV00136,BST-007,PROD-046,3565,409,781,9972,379,2026-07-14,Normal
INV00137,BST-007,PROD-048,521,158,664,3013,671,2026-07-19,Low Stock
INV00138,BST-007,PROD-044,1300,8,808,6791,719,2026-07-14,Normal
INV00139,BST-007,PROD-023,2344,452,582,3635,147,2026-07-16,Normal
INV00140,BST-007,PROD-027,4692,293,1937,9845,363,2026-07-21,Normal
INV00141,BST-008,PROD-011,792,195,624,2597,67,2026-07-02,Normal
INV00142,BST-008,PROD-030,3700,311,1029,4690,922,2026-07-07,Normal
INV00143,BST-008,PROD-021,7190,149,180,8698,552,2026-07-16,Overstocked
INV00144,BST-008,PROD-047,3892,25,457,4811,919,2026-07-18,Overstocked
INV00145,BST-008,PROD-004,5752,340,639,5811,59,2026-07-08,Overstocked
INV00146,BST-008,PROD-041,1645,247,278,3470,297,2026-07-22,Normal
INV00147,BST-008,PROD-046,457,8,160,1050,307,2026-07-22,Normal
INV00148,BST-008,PROD-003,263,4,411,9629,909,2026-07-24,Low Stock
INV00149,BST-008,PROD-023,4535,278,1186,5028,493,2026-07-13,Overstocked
INV00150,BST-008,PROD-045,1037,58,155,1165,128,2026-07-14,Overstocked
INV00151,BST-008,PROD-050,636,175,477,4464,152,2026-07-05,Normal
INV00152,BST-008,PROD-010,8381,497,1740,9848,11,2026-07-01,Overstocked
INV00153,BST-008,PROD-048,5147,340,893,5217,70,2026-07-21,Overstocked
INV00154,BST-008,PROD-014,1045,64,572,3473,1,2026-07-27,Normal
INV00155,BST-008,PROD-022,1096,319,332,1594,247,2026-07-12,Normal
INV00156,BST-008,PROD-001,341,105,245,3633,611,2026-07-13,Normal
INV00157,BST-008,PROD-008,1210,402,222,2894,647,2026-07-31,Normal
INV00158,BST-008,PROD-006,7025,300,983,7079,54,2026-07-20,Overstocked
INV00159,BST-008,PROD-042,905,60,324,1916,253,2026-07-16,Normal
INV00160,BST-008,PROD-027,1241,156,261,1356,115,2026-07-04,Overstocked
INV00161,BST-009,PROD-028,1578,223,211,5157,709,2026-07-16,Normal
INV00162,BST-009,PROD-011,1985,81,316,2009,24,2026-07-27,Overstocked
INV00163,BST-009,PROD-031,4378,146,1098,7907,514,2026-07-29,Normal
INV00164,BST-009,PROD-017,2688,420,573,4630,361,2026-07-16,Normal
INV00165,BST-009,PROD-049,1803,398,362,2214,411,2026-07-17,Overstocked
INV00166,BST-009,PROD-022,1508,334,1821,7849,953,2026-07-24,Low Stock
INV00167,BST-009,PROD-044,3083,142,1534,6888,842,2026-07-20,Normal
INV00168,BST-009,PROD-009,1763,31,283,2539,231,2026-07-12,Normal
INV00169,BST-009,PROD-050,2146,491,310,3258,471,2026-07-10,Normal
INV00170,BST-009,PROD-006,1172,136,678,3561,782,2026-07-11,Normal
INV00171,BST-009,PROD-039,4754,314,1120,5276,209,2026-07-29,Overstocked
INV00172,BST-009,PROD-048,670,56,700,4780,22,2026-07-23,Low Stock
INV00173,BST-009,PROD-043,929,278,541,2866,842,2026-07-14,Normal
INV00174,BST-009,PROD-007,1183,247,209,1203,20,2026-07-29,Overstocked
INV00175,BST-009,PROD-010,6295,45,401,6959,530,2026-07-09,Overstocked
INV00176,BST-009,PROD-023,1474,468,941,9528,686,2026-07-23,Normal
INV00177,BST-009,PROD-001,2258,398,262,3146,503,2026-07-10,Normal
INV00178,BST-009,PROD-035,1489,378,275,1640,151,2026-07-21,Overstocked
INV00179,BST-009,PROD-046,2803,101,1558,6748,13,2026-07-18,Normal
INV00180,BST-009,PROD-033,114,5,590,4286,381,2026-07-12,Low Stock
INV00181,BST-010,PROD-006,1566,431,692,8111,853,2026-07-28,Normal
INV00182,BST-010,PROD-018,3593,89,646,5936,544,2026-07-11,Normal
INV00183,BST-010,PROD-028,3723,85,258,5339,285,2026-07-29,Normal
INV00184,BST-010,PROD-032,4180,388,471,5194,667,2026-07-25,Overstocked
INV00185,BST-010,PROD-005,3773,441,596,4688,484,2026-07-29,Overstocked
INV00186,BST-010,PROD-030,1950,460,208,5340,854,2026-07-18,Normal
INV00187,BST-010,PROD-022,331,32,428,4818,568,2026-07-07,Low Stock
INV00188,BST-010,PROD-013,1724,303,335,2866,26,2026-07-02,Normal
INV00189,BST-010,PROD-047,442,19,447,2472,395,2026-07-02,Low Stock
INV00190,BST-010,PROD-031,2854,132,1292,7027,686,2026-07-19,Normal
INV00191,BST-010,PROD-021,576,38,348,1927,76,2026-07-04,Normal
INV00192,BST-010,PROD-010,1341,273,333,2548,468,2026-07-29,Normal
INV00193,BST-010,PROD-027,964,81,572,3001,867,2026-07-12,Normal
INV00194,BST-010,PROD-038,875,196,1496,8611,385,2026-07-08,Low Stock
INV00195,BST-010,PROD-036,585,172,1793,9928,20,2026-07-28,Low Stock
INV00196,BST-010,PROD-033,3956,489,1131,4666,114,2026-07-26,Overstocked
INV00197,BST-010,PROD-023,63,4,400,3370,702,2026-07-29,Low Stock
INV00198,BST-010,PROD-042,1276,261,422,3417,284,2026-07-26,Normal
INV00199,BST-010,PROD-003,4209,385,1014,5219,496,2026-07-04,Overstocked
INV00200,BST-010,PROD-026,6100,496,1019,7093,570,2026-07-28,Overstocked
